"Table P2.  Primary Energy Production Estimates in Trillion Btu, 2018 ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State,Fossil Fuels,,,,,,Nuclear Electric Power,,Renewable Energy,,,,,,Total   ,
Federal Offshore - Pacific,—,,(g),,27.8,,—,,—,,—,,—,,27.8,
,,,,,,,,,,,,,,,,
United States,"15,280.5",,"37,575.6",,"22,889.7",,"8,438.1",,"2,396.6",,"2,841.9",,"6,269.9",,"95,692.3",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
a  Includes refuse recovery.,,,,,,,"f  Consumption of noncombustible renewable energy, including ",,,,,,,,,
b  Marketed production.,,,,,,,"hydroelectric power as well as geothernal, solar, and wind energy.",,,,,,,,,
c  Includes lease condensate.,,,,,,,g  Production of federal offshore natural gas along the Pacific,,,,,,,,,
d  Biomass inputs (feedstock) to the production of biofuels.,,,,,,,coast is included in California.,,,,,,,,,
e  Wood energy production and biomass waste energy consumption.,,,,,,,— = Not applicable.  (s) = Less than 0.05 trillion Btu.,,,,,,,,,
,,,,,,,,,,,,,,,,
Note: Totals may not equal sum of components due to independent rounding.,,,,,,,,,,,,,,,,
"Sources: Data sources, estimation procedures, and assumptions are described in the documentation at",,,,,,,,,,,,,,,,
http://www.eia.gov/state/seds/seds-technical-notes-complete.php,,,,,,,,,,,,,,,,
